ID,出场次数,KDA,参团率,场均击杀,单场最高击杀,场均死亡,单场最高死亡,场均助攻,单场最高助攻,GPM,CSPM,每分钟输出,输出占比,每分钟承受伤害,伤害占比,每分钟插眼数,每分钟排眼数
Lwx,50.00 ,6.00 ,0.71 ,4.50 ,13.00 ,1.80 ,5.00 ,6.20 ,16.00 ,441.00 ,9.28 ,536.00 ,0.30 ,269.00 ,0.10 ,0.42 ,0.34 
Hope,49.00 ,6.80 ,0.73 ,4.80 ,11.00 ,1.40 ,5.00 ,5.00 ,10.00 ,439.00 ,9.36 ,511.00 ,0.30 ,282.00 ,0.11 ,0.42 ,0.48 
Jiumeng,49.00 ,4.20 ,0.75 ,4.90 ,15.00 ,2.50 ,9.00 ,5.60 ,12.00 ,432.00 ,8.74 ,569.00 ,0.30 ,361.00 ,0.13 ,0.42 ,0.40 
Puff,46.00 ,4.10 ,0.64 ,4.80 ,14.00 ,2.40 ,7.00 ,5.10 ,17.00 ,444.00 ,9.17 ,583.00 ,0.25 ,350.00 ,0.13 ,0.37 ,0.43 
LokeN,44.00 ,6.90 ,0.70 ,4.20 ,11.00 ,1.40 ,5.00 ,5.70 ,12.00 ,446.00 ,9.52 ,526.00 ,0.28 ,294.00 ,0.11 ,0.46 ,0.40 
iBoy,43.00 ,4.30 ,0.70 ,3.10 ,8.00 ,2.00 ,6.00 ,5.20 ,11.00 ,417.00 ,8.98 ,548.00 ,0.31 ,330.00 ,0.12 ,0.48 ,0.65 
Jinjiao,42.00 ,3.70 ,0.69 ,3.20 ,11.00 ,2.20 ,5.00 ,4.80 ,13.00 ,419.00 ,9.16 ,500.00 ,0.27 ,337.00 ,0.13 ,0.48 ,0.47 
Betty,42.00 ,5.20 ,0.73 ,4.10 ,13.00 ,1.80 ,5.00 ,5.40 ,13.00 ,410.00 ,8.41 ,457.00 ,0.26 ,293.00 ,0.12 ,0.56 ,0.51 
Wink,41.00 ,5.60 ,0.72 ,4.60 ,11.00 ,2.10 ,5.00 ,7.30 ,15.00 ,459.00 ,10.00 ,619.00 ,0.29 ,341.00 ,0.12 ,0.44 ,0.53 
Zwuji,40.00 ,4.00 ,0.74 ,3.80 ,11.00 ,2.60 ,7.00 ,6.50 ,13.00 ,401.00 ,8.13 ,535.00 ,0.28 ,346.00 ,0.12 ,0.41 ,0.50 
HuanFeng,39.00 ,3.90 ,0.75 ,4.80 ,14.00 ,2.60 ,7.00 ,5.50 ,14.00 ,454.00 ,9.87 ,720.00 ,0.35 ,387.00 ,0.13 ,0.41 ,0.37 
Kramer,38.00 ,3.50 ,0.77 ,4.00 ,13.00 ,2.80 ,6.00 ,5.90 ,16.00 ,424.00 ,8.37 ,573.00 ,0.29 ,388.00 ,0.13 ,0.57 ,0.57 
Smlz,38.00 ,3.20 ,0.66 ,2.90 ,9.00 ,2.10 ,5.00 ,4.00 ,12.00 ,412.00 ,8.88 ,532.00 ,0.30 ,329.00 ,0.13 ,0.50 ,0.51 
GALA,35.00 ,3.80 ,0.66 ,2.90 ,10.00 ,2.10 ,7.00 ,5.10 ,15.00 ,417.00 ,9.28 ,527.00 ,0.30 ,298.00 ,0.11 ,0.32 ,0.29 
y4,33.00 ,1.90 ,0.73 ,2.20 ,12.00 ,3.40 ,5.00 ,4.10 ,15.00 ,337.00 ,6.09 ,382.00 ,0.23 ,384.00 ,0.14 ,0.78 ,0.40 
Photic,31.00 ,3.60 ,0.68 ,4.00 ,13.00 ,2.60 ,6.00 ,5.60 ,11.00 ,415.00 ,8.55 ,525.00 ,0.26 ,399.00 ,0.15 ,0.46 ,0.44 
Asura,26.00 ,3.20 ,0.77 ,3.60 ,14.00 ,2.90 ,6.00 ,5.70 ,15.00 ,395.00 ,7.80 ,596.00 ,0.31 ,353.00 ,0.13 ,0.47 ,0.38 
JackeyLove,19.00 ,4.10 ,0.66 ,4.50 ,11.00 ,2.60 ,7.00 ,6.20 ,13.00 ,449.00 ,9.41 ,647.00 ,0.31 ,378.00 ,0.14 ,0.38 ,0.49 
Light,15.00 ,2.70 ,0.62 ,2.70 ,8.00 ,2.30 ,5.00 ,3.50 ,12.00 ,412.00 ,9.67 ,431.00 ,0.27 ,302.00 ,0.11 ,0.34 ,0.29 
Weiwei,2.00 ,3.10 ,0.73 ,2.50 ,4.00 ,3.50 ,4.00 ,8.50 ,12.00 ,373.00 ,7.78 ,529.00 ,0.26 ,335.00 ,0.12 ,0.33 ,0.42 
