ID,出场次数,KDA,参团率,场均击杀,单场最高击杀,场均死亡,单场最高死亡,场均助攻,单场最高助攻,GPM,CSPM,每分钟输出,输出占比,每分钟承受伤害,伤害占比,每分钟插眼数,每分钟排眼数
Karsa,50.00 ,3.40 ,0.67 ,2.40 ,7.00 ,2.90 ,10.00 ,7.60 ,22.00 ,324.00 ,5.11 ,255.00 ,0.12 ,775.00 ,0.29 ,0.70 ,0.36 
Tian,50.00 ,4.00 ,0.70 ,2.70 ,8.00 ,2.60 ,9.00 ,7.70 ,18.00 ,323.00 ,5.03 ,231.00 ,0.13 ,751.00 ,0.28 ,0.63 ,0.43 
beishang,49.00 ,4.60 ,0.77 ,2.70 ,9.00 ,2.30 ,7.00 ,8.20 ,23.00 ,340.00 ,5.45 ,302.00 ,0.16 ,771.00 ,0.27 ,0.53 ,0.43 
Kanavi,44.00 ,6.00 ,0.75 ,3.70 ,9.00 ,1.80 ,6.00 ,6.90 ,16.00 ,364.00 ,6.14 ,338.00 ,0.18 ,825.00 ,0.32 ,0.43 ,0.54 
Meteor,42.00 ,3.60 ,0.75 ,2.00 ,8.00 ,2.40 ,7.00 ,6.70 ,18.00 ,322.00 ,5.38 ,250.00 ,0.13 ,788.00 ,0.30 ,0.74 ,0.51 
XLB,42.00 ,3.20 ,0.69 ,2.30 ,9.00 ,2.80 ,9.00 ,6.70 ,16.00 ,303.00 ,4.78 ,222.00 ,0.13 ,710.00 ,0.28 ,0.69 ,0.47 
SofM,41.00 ,3.30 ,0.77 ,1.80 ,6.00 ,3.20 ,9.00 ,8.80 ,19.00 ,315.00 ,5.27 ,263.00 ,0.13 ,872.00 ,0.30 ,1.10 ,0.59 
Xx,41.00 ,2.50 ,0.66 ,2.00 ,7.00 ,3.00 ,6.00 ,5.40 ,16.00 ,306.00 ,4.91 ,224.00 ,0.12 ,763.00 ,0.28 ,0.60 ,0.42 
WEI,41.00 ,4.60 ,0.76 ,2.60 ,9.00 ,2.80 ,6.00 ,10.10 ,23.00 ,319.00 ,4.51 ,292.00 ,0.14 ,811.00 ,0.29 ,0.74 ,0.57 
Peanut,38.00 ,3.70 ,0.75 ,3.30 ,10.00 ,2.70 ,8.00 ,6.40 ,17.00 ,337.00 ,5.54 ,297.00 ,0.15 ,822.00 ,0.27 ,0.51 ,0.47 
H4cker,38.00 ,3.20 ,0.71 ,1.60 ,7.00 ,2.30 ,6.00 ,5.80 ,16.00 ,321.00 ,5.55 ,217.00 ,0.12 ,744.00 ,0.28 ,0.45 ,0.39 
JunJia,32.00 ,3.40 ,0.73 ,1.70 ,5.00 ,2.90 ,7.00 ,8.00 ,17.00 ,296.00 ,4.50 ,225.00 ,0.13 ,776.00 ,0.30 ,0.50 ,0.45 
Xiaopeng,31.00 ,3.20 ,0.74 ,2.50 ,9.00 ,3.00 ,6.00 ,7.30 ,19.00 ,325.00 ,5.21 ,244.00 ,0.14 ,790.00 ,0.29 ,0.65 ,0.53 
Aix,31.00 ,4.10 ,0.69 ,2.60 ,8.00 ,2.20 ,6.00 ,6.40 ,11.00 ,329.00 ,5.51 ,280.00 ,0.15 ,834.00 ,0.29 ,0.48 ,0.43 
Leyan,31.00 ,2.70 ,0.59 ,3.10 ,8.00 ,3.30 ,6.00 ,5.90 ,13.00 ,344.00 ,5.49 ,280.00 ,0.13 ,846.00 ,0.32 ,0.69 ,0.52 
Haro,26.00 ,3.70 ,0.76 ,4.50 ,15.00 ,2.90 ,8.00 ,6.10 ,20.00 ,346.00 ,5.50 ,346.00 ,0.18 ,767.00 ,0.26 ,0.52 ,0.38 
Xiaohan,22.00 ,1.50 ,0.73 ,2.00 ,6.00 ,4.10 ,8.00 ,4.00 ,11.00 ,305.00 ,4.89 ,247.00 ,0.14 ,778.00 ,0.26 ,0.53 ,0.26 
Jiejie,17.00 ,7.50 ,0.76 ,2.50 ,7.00 ,1.40 ,3.00 ,8.10 ,20.00 ,325.00 ,4.89 ,233.00 ,0.14 ,714.00 ,0.30 ,0.55 ,0.39 
Ning,15.00 ,2.60 ,0.60 ,2.00 ,4.00 ,3.60 ,7.00 ,7.50 ,18.00 ,318.00 ,5.12 ,234.00 ,0.09 ,935.00 ,0.31 ,0.49 ,0.42 
WeiYan,14.00 ,2.70 ,0.72 ,2.60 ,10.00 ,3.70 ,7.00 ,7.50 ,16.00 ,315.00 ,4.69 ,236.00 ,0.13 ,876.00 ,0.31 ,0.67 ,0.36 
Chieftain,12.00 ,1.80 ,0.70 ,1.30 ,3.00 ,3.40 ,6.00 ,4.70 ,10.00 ,284.00 ,5.06 ,159.00 ,0.11 ,711.00 ,0.28 ,0.66 ,0.55 
As6,9.00 ,1.40 ,0.57 ,1.30 ,2.00 ,4.10 ,7.00 ,4.60 ,7.00 ,282.00 ,4.50 ,188.00 ,0.12 ,673.00 ,0.26 ,0.37 ,0.36 
bless,4.00 ,0.90 ,0.82 ,0.50 ,1.00 ,3.80 ,5.00 ,3.00 ,4.00 ,253.00 ,4.46 ,118.00 ,0.08 ,737.00 ,0.28 ,0.49 ,0.30 
Daylight,2.00 ,1.40 ,0.54 ,0.50 ,1.00 ,2.50 ,3.00 ,3.00 ,4.00 ,284.00 ,4.75 ,172.00 ,0.12 ,583.00 ,0.23 ,0.56 ,0.26 
