ID,出场次数,KDA,参团率,场均击杀,单场最高击杀,场均死亡,单场最高死亡,场均助攻,单场最高助攻,GPM,CSPM,每分钟输出,输出占比,每分钟承受伤害,伤害占比,每分钟插眼数,每分钟排眼数
Crisp,50.00 ,4.70 ,0.68 ,0.60 ,2.00 ,2.20 ,7.00 ,9.60 ,20.00 ,235.00 ,1.13 ,119.00 ,0.07 ,366.00 ,0.14 ,1.61 ,0.31 
Meiko,49.00 ,3.30 ,0.69 ,0.70 ,3.00 ,2.80 ,8.00 ,8.70 ,18.00 ,229.00 ,0.93 ,139.00 ,0.08 ,383.00 ,0.15 ,1.62 ,0.26 
Missing,49.00 ,3.70 ,0.75 ,0.90 ,3.00 ,2.90 ,6.00 ,9.70 ,26.00 ,244.00 ,1.31 ,165.00 ,0.09 ,445.00 ,0.16 ,1.57 ,0.43 
Southwind,46.00 ,4.40 ,0.63 ,1.00 ,3.00 ,2.20 ,6.00 ,8.80 ,21.00 ,249.00 ,1.45 ,147.00 ,0.06 ,392.00 ,0.14 ,1.43 ,0.32 
LvMao,44.00 ,4.80 ,0.70 ,0.60 ,3.00 ,2.10 ,6.00 ,9.50 ,21.00 ,235.00 ,1.12 ,155.00 ,0.08 ,355.00 ,0.14 ,1.57 ,0.27 
Ming,42.00 ,3.50 ,0.71 ,0.70 ,5.00 ,2.70 ,8.00 ,8.60 ,18.00 ,241.00 ,1.72 ,155.00 ,0.09 ,371.00 ,0.15 ,1.62 ,0.34 
XinMo,42.00 ,2.50 ,0.68 ,0.50 ,2.00 ,3.10 ,8.00 ,7.50 ,18.00 ,225.00 ,1.01 ,129.00 ,0.07 ,432.00 ,0.16 ,1.56 ,0.26 
SwordArt,41.00 ,3.00 ,0.72 ,0.60 ,2.00 ,3.30 ,8.00 ,9.30 ,23.00 ,224.00 ,0.98 ,151.00 ,0.07 ,446.00 ,0.15 ,1.66 ,0.28 
ShiauC,41.00 ,3.50 ,0.70 ,1.50 ,5.00 ,3.30 ,8.00 ,10.30 ,22.00 ,246.00 ,1.06 ,182.00 ,0.09 ,401.00 ,0.14 ,1.84 ,0.43 
Ley,40.00 ,2.40 ,0.71 ,1.00 ,5.00 ,4.10 ,9.00 ,8.90 ,24.00 ,242.00 ,1.64 ,164.00 ,0.09 ,534.00 ,0.18 ,1.31 ,0.32 
Duan,39.00 ,2.10 ,0.63 ,0.70 ,4.00 ,3.50 ,9.00 ,6.70 ,25.00 ,232.00 ,1.58 ,141.00 ,0.08 ,474.00 ,0.17 ,1.39 ,0.43 
cold,38.00 ,2.60 ,0.66 ,0.70 ,3.00 ,2.70 ,7.00 ,6.20 ,20.00 ,235.00 ,1.54 ,129.00 ,0.07 ,413.00 ,0.16 ,1.43 ,0.27 
Mark,35.00 ,2.60 ,0.64 ,0.60 ,3.00 ,3.00 ,8.00 ,7.20 ,20.00 ,229.00 ,1.14 ,124.00 ,0.07 ,379.00 ,0.14 ,1.48 ,0.32 
QiuQiu,31.00 ,4.00 ,0.67 ,0.70 ,4.00 ,2.40 ,7.00 ,8.90 ,25.00 ,235.00 ,1.12 ,153.00 ,0.08 ,388.00 ,0.14 ,1.49 ,0.30 
Hang,26.00 ,3.00 ,0.70 ,0.80 ,4.00 ,3.10 ,7.00 ,8.60 ,17.00 ,240.00 ,1.69 ,153.00 ,0.08 ,477.00 ,0.16 ,1.32 ,0.25 
Killua,23.00 ,3.20 ,0.77 ,0.60 ,4.00 ,3.10 ,8.00 ,9.20 ,17.00 ,242.00 ,1.96 ,163.00 ,0.08 ,489.00 ,0.16 ,1.58 ,0.29 
Yuyanjia,19.00 ,3.40 ,0.64 ,0.80 ,2.00 ,3.00 ,7.00 ,9.40 ,19.00 ,240.00 ,0.88 ,144.00 ,0.07 ,388.00 ,0.15 ,1.62 ,0.26 
Maestro,17.00 ,2.10 ,0.67 ,0.50 ,2.00 ,3.10 ,6.00 ,5.80 ,14.00 ,210.00 ,0.96 ,81.00 ,0.06 ,334.00 ,0.13 ,1.58 ,0.25 
clx,17.00 ,1.60 ,0.64 ,1.50 ,7.00 ,4.20 ,8.00 ,5.10 ,11.00 ,310.00 ,5.44 ,349.00 ,0.20 ,538.00 ,0.19 ,0.78 ,0.26 
Max,16.00 ,0.90 ,0.58 ,0.40 ,2.00 ,4.70 ,8.00 ,3.60 ,11.00 ,213.00 ,1.58 ,115.00 ,0.07 ,456.00 ,0.16 ,1.20 ,0.26 
Chance,15.00 ,2.50 ,0.69 ,0.50 ,2.00 ,3.60 ,7.00 ,8.50 ,22.00 ,227.00 ,1.26 ,142.00 ,0.07 ,414.00 ,0.14 ,1.50 ,0.31 
Iwandy,2.00 ,0.30 ,0.60 ,0.00 ,0.00 ,5.50 ,6.00 ,1.50 ,3.00 ,194.00 ,1.22 ,112.00 ,0.07 ,481.00 ,0.19 ,1.45 ,0.29 
