ID,出场次数,KDA,参团率,场均击杀,单场最高击杀,场均死亡,单场最高死亡,场均助攻,单场最高助攻,GPM,CSPM,每分钟输出,输出占比,每分钟承受伤害,伤害占比,每分钟插眼数,每分钟排眼数
369,50.00 ,3.50 ,0.56 ,2.80 ,7.00 ,2.40 ,6.00 ,5.60 ,16.00 ,384.00 ,7.87 ,456.00 ,0.22 ,727.00 ,0.27 ,0.40 ,0.17 
Morgan,49.00 ,2.60 ,0.58 ,2.60 ,8.00 ,3.10 ,7.00 ,5.60 ,16.00 ,367.00 ,7.42 ,394.00 ,0.21 ,745.00 ,0.26 ,0.41 ,0.24 
TheShy,46.00 ,2.00 ,0.56 ,3.10 ,11.00 ,4.20 ,10.00 ,5.50 ,13.00 ,402.00 ,7.75 ,654.00 ,0.29 ,696.00 ,0.25 ,0.36 ,0.11 
Cube,43.00 ,3.30 ,0.63 ,2.20 ,10.00 ,2.20 ,6.00 ,5.30 ,13.00 ,356.00 ,7.28 ,362.00 ,0.20 ,669.00 ,0.24 ,0.50 ,0.12 
Langx,42.00 ,3.70 ,0.62 ,2.50 ,11.00 ,2.20 ,8.00 ,5.50 ,20.00 ,380.00 ,7.97 ,411.00 ,0.24 ,671.00 ,0.27 ,0.42 ,0.17 
XiaoBai,41.00 ,3.50 ,0.59 ,2.80 ,10.00 ,2.80 ,7.00 ,7.10 ,18.00 ,364.00 ,7.12 ,393.00 ,0.19 ,744.00 ,0.26 ,0.44 ,0.21 
Curse,38.00 ,1.90 ,0.55 ,2.40 ,8.00 ,3.10 ,9.00 ,3.40 ,11.00 ,375.00 ,7.70 ,404.00 ,0.23 ,663.00 ,0.25 ,0.36 ,0.15 
GimGoon,34.00 ,4.10 ,0.55 ,2.40 ,8.00 ,1.90 ,7.00 ,5.50 ,15.00 ,364.00 ,7.32 ,323.00 ,0.19 ,605.00 ,0.24 ,0.49 ,0.19 
Natural,34.00 ,2.80 ,0.57 ,3.10 ,10.00 ,2.50 ,7.00 ,3.90 ,14.00 ,396.00 ,8.33 ,383.00 ,0.22 ,749.00 ,0.28 ,0.38 ,0.21 
Kingen,34.00 ,2.50 ,0.59 ,2.70 ,7.00 ,2.80 ,8.00 ,4.30 ,9.00 ,371.00 ,7.52 ,431.00 ,0.24 ,666.00 ,0.25 ,0.40 ,0.24 
Flandre,33.00 ,2.20 ,0.64 ,2.30 ,10.00 ,3.40 ,7.00 ,5.00 ,13.00 ,373.00 ,7.89 ,415.00 ,0.23 ,758.00 ,0.28 ,0.24 ,0.25 
Lies,29.00 ,2.10 ,0.56 ,1.70 ,6.00 ,3.50 ,10.00 ,5.60 ,16.00 ,333.00 ,6.77 ,452.00 ,0.23 ,756.00 ,0.25 ,0.47 ,0.12 
Aodi,28.00 ,3.70 ,0.61 ,2.90 ,10.00 ,2.20 ,8.00 ,5.30 ,12.00 ,358.00 ,7.00 ,379.00 ,0.21 ,613.00 ,0.24 ,0.37 ,0.20 
Aliez,28.00 ,1.20 ,0.50 ,1.70 ,7.00 ,3.80 ,9.00 ,3.00 ,9.00 ,331.00 ,7.08 ,340.00 ,0.20 ,709.00 ,0.25 ,0.39 ,0.09 
Crazy,26.00 ,2.90 ,0.56 ,2.40 ,6.00 ,2.60 ,7.00 ,5.10 ,16.00 ,362.00 ,7.46 ,405.00 ,0.21 ,685.00 ,0.24 ,0.44 ,0.17 
Zoom,24.00 ,5.40 ,0.59 ,2.50 ,6.00 ,1.80 ,4.00 ,7.10 ,12.00 ,409.00 ,8.17 ,422.00 ,0.21 ,676.00 ,0.27 ,0.52 ,0.17 
